tweetText_clean,tweetText,label,image_link,link_status,id,event
Just arrived at scene of massacre #Paris #charliehebdo,Just arrived at scene of massacre #Paris #charliehebdo http://t.co/bxDwfuqRz8,real,https://pbs.twimg.com/media/B6vkP44IUAADVtz.jpg,,552786340958715904,charliehebdo
Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie,Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie http://t.co/lzQdhJ6kxR,real,https://pbs.twimg.com/media/B6viYn6IYAAul73.jpg,,552787144373460992,charliehebdo
Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie,Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie http://t.co/k6inhBmGsf,real,https://pbs.twimg.com/media/B6viYn6IYAAul73.jpg,,552787144415404032,charliehebdo
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this?","Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",real,https://pbs.twimg.com/media/B6vj-t8CIAA4z81.png,,552787361437057024,charliehebdo
#CharlieHebdo published a cartoon of the notorious #ISIS leader last week (They've just tweeted the pic again).,#CharlieHebdo published a cartoon of the notorious #ISIS leader last week (They've just tweeted the pic again). http://t.co/YYyxzNaFFb,real,https://pbs.twimg.com/media/B6vlw2wCEAAv76h.png,,552788007603142656,charliehebdo
French newspaper Charlie Hebdo's last tweet before gunmen attack,French newspaper Charlie Hebdo's last tweet before gunmen attack http://t.co/vsjId0EWRk http://t.co/yJhgbhIXQ6,real,https://pbs.twimg.com/media/B6vmaYGIYAEdHBB.jpg,,552788720236376064,charliehebdo
"Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan""","Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan"" http://t.co/G7zbitA3Cj",real,https://pbs.twimg.com/media/B6vm2FfCEAAtHyt.jpg,,552789196906459136,charliehebdo
#CharlieHebdo. That is all.,#CharlieHebdo. That is all. http://t.co/9zzpYZcAJ8,real,https://pbs.twimg.com/media/B6vm5ORIYAEQbDW.png,,552789252690706432,charliehebdo
"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish","If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u",real,https://pbs.twimg.com/media/B6vnDs9IYAA57ub.jpg,,552789443644751872,charliehebdo
Solidarity with Charlie Hebdo.,Solidarity with Charlie Hebdo. http://t.co/gvLp0NwLax,real,https://pbs.twimg.com/media/B6vnKo7CAAAvfKP.jpg,,552789550238801920,charliehebdo
"Charlie Hebdo's Nov 2011 CHARIA HEBDO ""guest-edited"" by Muhammad:""100 lashes of the whip if you don't die laughing.""","Charlie Hebdo's Nov 2011 CHARIA HEBDO ""guest-edited"" by Muhammad:""100 lashes of the whip if you don't die laughing."" http://t.co/5EzG448CNm",real,https://pbs.twimg.com/media/B6vnMibCMAAA5xT.jpg,,552789583260577792,charliehebdo
"Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying ""and especially, health!"" (New Year's greeting)","Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying ""and especially, health!"" (New Year's greeting) http://t.co/UMEWDeR6z4",real,https://pbs.twimg.com/media/B6vndGVCMAEtAN1.jpg,,552789886202175490,charliehebdo
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this?","Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac",real,https://pbs.twimg.com/media/B6vj-t8CIAA4z81.png,,552790565642067968,charliehebdo
"""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo","""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT",real,https://pbs.twimg.com/media/B6voNPPCEAE8eop.jpg,,552790695036321793,charliehebdo
This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices,This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq,real,https://pbs.twimg.com/media/B6vooHgIAAAdxzr.jpg,,552791159232540673,charliehebdo
