id,tweet_text,local_image_path,label
552787144373460992,Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie http://t.co/lzQdhJ6kxR,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552787144373460992.jpg,real
552787144415404032,Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie http://t.co/k6inhBmGsf,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552787144415404032.jpg,real
552787361437057024,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552787361437057024.png,real
552788720236376064,French newspaper Charlie Hebdo's last tweet before gunmen attack http://t.co/vsjId0EWRk http://t.co/yJhgbhIXQ6,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552788720236376064.jpg,real
552789196906459136,"Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan"" http://t.co/G7zbitA3Cj",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552789196906459136.jpg,real
552789252690706432,#CharlieHebdo. That is all. http://t.co/9zzpYZcAJ8,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552789252690706432.png,real
552789443644751872,"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552789443644751872.jpg,real
552789583260577792,"Charlie Hebdo's Nov 2011 CHARIA HEBDO ""guest-edited"" by Muhammad:""100 lashes of the whip if you don't die laughing."" http://t.co/5EzG448CNm",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552789583260577792.jpg,real
552790565642067968,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552790565642067968.png,real
552790695036321793,"""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552790695036321793.jpg,real
552791159232540673,This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552791159232540673.jpg,real
552791203432103937,Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552791203432103937.jpg,real
552792131447037952,in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie http://t.co/FkkDZXChdt,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552792131447037952.jpg,real
552792518870708224,"More Charlie Hebdo covers, including ""the life of Mohamed"". These are people willing to kill over a cartoon. http://t.co/VAEnDpBYSu",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552792518870708224.jpg,real
552793759210307584,Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad http://t.co/0wAINRJ1Z7,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552793759210307584.jpg,real
552794514424102913,Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run http://t.co/xcK8lY9IeR http://t.co/tQuxQ06Q7f,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552794514424102913.jpg,real
552794995942772736,'...but I will to the death defend your right to say it'. #charliehebdo #voltaire http://t.co/oFEHT8Xx3v,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552794995942772736.jpg,real
552795056080691200,VIDEO from the scene of fatal shooting in Paris http://t.co/sL3aG464Lt #CharlieHebdo http://t.co/FLC3mR5C2S,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552795056080691200.png,real
552795778922864640,It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs http://t.co/CyqwWWWgJh,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552795778922864640.jpg,real
552795953301045248,French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack. http://t.co/Rve1Lp0EXf http://t.co/8LFA5LFSnS,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552795953301045248.jpg,real
552796269069209600,DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande http://t.co/3Jsosc7yl3 http://t.co/Lvv3J8o6e8,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552796269069209600.jpg,real
552796506642591744,Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near #CharlieHebdo offices: http://t.co/eBpt190LD0,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552796506642591744.jpg,real
552796895513681920,#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP http://t.co/ZK41w7J7yc,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552796895513681920.jpg,real
552797058990870528,Spread this cover in solidarity with the victims at Charlie Hebdo. Don't let the sword conquer the pen. http://t.co/XVkPPbkLhn,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552797058990870528.jpg,real
552797170295144449,Video of #terrorists attacking Charlie Hebdo HQ in Paris http://t.co/SdniwkJtT1 http://t.co/z6O8IhNjCk,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552797170295144449.png,real
552798832359374849,Our thoughts go out out to people at Charlie Hebdo and their families. Senseless violence is never the answer. http://t.co/YGscPqvtYM,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552798832359374849.jpg,real
552799100715167744,France raises national alert system to highest level after attack at Charlie Hebdo HQ http://t.co/TyRyAhzSPP http://t.co/cWYQCmwg0z,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552799100715167744.jpg,real
552799606833430528,"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo http://t.co/Mbn5SiWA7Z",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552799606833430528.jpg,real
552800070199148544,How to respond to the murderous attack on Charlie Hebdo? Every newspaper in the free world should print this. http://t.co/sC2ot63F6j,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552800070199148544.jpg,real
552800222553079809,There is never justification for violence because one is offended by a cartoon. Ever. #CharlieHebdo http://t.co/RhBpC5Iwh9,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552800222553079809.jpg,real
552801115516186625,#France has a problem (and quite a serious one) #CharlieHebdo http://t.co/H15l2ARF3d,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552801115516186625.jpg,real
552801667855695873,Masked gunmen pictured near #CharlieHebdo offices http://t.co/Zvfj25EnEc http://t.co/qTWhoLqICk,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552801667855695873.jpg,real
552801979861598208,The right 2 draw Muhammad without being shot is as precious to many of us as Muhammad is to the #CharlieHebdo killers http://t.co/QeDw4tRoK9,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552801979861598208.jpg,real
552802011733716992,"The 2011 issue of Charlie Hebdo, whose cover featured Mohammed. http://t.co/eSflYdFBRH",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552802011733716992.jpg,real
552802098602319873,Map shows where gun attack on satirical magazine #CharlieHebdo took place in central Paris http://t.co/5AZAKumpNd http://t.co/ECFYztMVk9,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552802098602319873.jpg,real
552802515969138688,Video has emerged showing the moment gunmen opened fire at #CharlieHebdo's HQ in Paris. http://t.co/ZRSbE9Fc1L http://t.co/tE7KwlhuSN,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552802515969138688.jpg,real
552803431702749184,"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo http://t.co/5fzKhE1LdJ",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552803431702749184.jpg,real
552804175310901248,Headline from #CharlieHebdo this week: ISIS executes Phorphet Mohamed; police chase terrorists http://t.co/4qqVIjLP8A http://t.co/1zJuiZVLf3,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552804175310901248.jpg,real
552804784819154944,I support #CharlieHebdo and a free press. Please RT these cartoons to show a united and dignified defiance. http://t.co/Mc2aOwSHYA,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552804784819154944.jpg,real
552805050620604418,What we know about the gunmen in the #CharlieHebdo attack: http://t.co/z4xLMmeDl5 (Pic: Gelbard/AFP/Getty) http://t.co/KKtg9fGeba,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552805050620604418.jpg,real
552805799106732032,"Journalists, admin staff and police officers among those injured in #CharlieHebdo attack http://t.co/cMsu4ASQjl http://t.co/zqkHLJK5b9",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552805799106732032.jpg,real
552806056154644480,#Picture IS terrorist scum executes injured police man in #Paris. #CharlieHebdo http://t.co/wov8G7GL0b,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552806056154644480.png,real
552806077755326464,Satirical French magazine #CharlieHebdo attacked by gunmen: latest news report http://t.co/gjTbTOQIMo http://t.co/IIKBOs2Puk,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552806077755326464.jpg,real
552806462125506560,#CharlieHebdo: Nothing can justify attack &amp; those who organised &amp; committed these crimes should be brought to justice http://t.co/eoDTplTQll,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552806462125506560.png,real
552806890498191361,In sympathy and solidarity with @Charlie_Hebdo_ #CharlieHebdo http://t.co/W2CBdVJ0k6,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552806890498191361.jpg,real
552807236339507200,RT #JeSuisCharlie In support of #CharlieHebdo. http://t.co/EvNntxSRIc,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552807236339507200.png,real
552807832257835008,Video: #CharlieHebdo's editor tells Al Jazeera why they are a target [2012] http://t.co/EJK2Em0M8R http://t.co/UK970UDPPz,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552807832257835008.png,real
