id,event,label,tweet_text,image_link,has_image,json_path,tweet_text_clean
552786340958715904,charliehebdo,real,Just arrived at scene of massacre #Paris #charliehebdo http://t.co/bxDwfuqRz8,https://pbs.twimg.com/media/B6vkP44IUAADVtz.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552786340958715904\source-tweet\552786340958715904.json,Just arrived at scene of massacre #Paris #charliehebdo
552787144373460992,charliehebdo,real,Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie http://t.co/lzQdhJ6kxR,https://pbs.twimg.com/media/B6viYn6IYAAul73.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552787144373460992\source-tweet\552787144373460992.json,Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie
552787144415404032,charliehebdo,real,Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie http://t.co/k6inhBmGsf,https://pbs.twimg.com/media/B6viYn6IYAAul73.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552787144415404032\source-tweet\552787144415404032.json,Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie
552787321561812992,charliehebdo,real,Every newspaper in Europe should publish those cartoons from Charlie Hebdo tomorrow. Every single one.,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552787321561812992\source-tweet\552787321561812992.json,Every newspaper in Europe should publish those cartoons from Charlie Hebdo tomorrow. Every single one.
552787361437057024,charliehebdo,real,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",https://pbs.twimg.com/media/B6vj-t8CIAA4z81.png,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552787361437057024\source-tweet\552787361437057024.json,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this?"
552787599031828480,charliehebdo,real,'It's a massacre. There are dead!' employee of Charlie Hebdo tells French media outlet before call disconnects http://t.co/Q27XnP3AS3,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552787599031828480\source-tweet\552787599031828480.json,'It's a massacre. There are dead!' employee of Charlie Hebdo tells French media outlet before call disconnects
552787914271510529,charliehebdo,real,If religion — any religion — is off-limits for open debate we are in a very dangerous situation. #Freedomofexpression #CharlieHebdo,,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552787914271510529\source-tweet\552787914271510529.json,If religion — any religion — is off-limits for open debate we are in a very dangerous situation. #Freedomofexpression #CharlieHebdo
552788007603142656,charliehebdo,real,#CharlieHebdo published a cartoon of the notorious #ISIS leader last week (They've just tweeted the pic again). http://t.co/YYyxzNaFFb,https://pbs.twimg.com/media/B6vlw2wCEAAv76h.png,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552788007603142656\source-tweet\552788007603142656.json,#CharlieHebdo published a cartoon of the notorious #ISIS leader last week (They've just tweeted the pic again).
552788555584765952,charliehebdo,real,"The right to mock &amp; criticise religion is a key tenet of a free and democratic society, whether it be Islam or Christianity. #CharlieHebdo",,0,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552788555584765952\source-tweet\552788555584765952.json,"The right to mock &amp; criticise religion is a key tenet of a free and democratic society, whether it be Islam or Christianity. #CharlieHebdo"
552788720236376064,charliehebdo,real,French newspaper Charlie Hebdo's last tweet before gunmen attack http://t.co/vsjId0EWRk http://t.co/yJhgbhIXQ6,https://pbs.twimg.com/media/B6vmaYGIYAEdHBB.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552788720236376064\source-tweet\552788720236376064.json,French newspaper Charlie Hebdo's last tweet before gunmen attack
