id,event,label,tweet_text,image_link,has_image,json_path,tweet_text_clean,local_image_path,download_ok,download_status
552786340958715904,charliehebdo,real,Just arrived at scene of massacre #Paris #charliehebdo http://t.co/bxDwfuqRz8,https://pbs.twimg.com/media/B6vkP44IUAADVtz.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552786340958715904\source-tweet\552786340958715904.json,Just arrived at scene of massacre #Paris #charliehebdo,,0,http_404
552787144373460992,charliehebdo,real,Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie http://t.co/lzQdhJ6kxR,https://pbs.twimg.com/media/B6viYn6IYAAul73.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552787144373460992\source-tweet\552787144373460992.json,Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552787144373460992.jpg,1,ok
552787144415404032,charliehebdo,real,Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie http://t.co/k6inhBmGsf,https://pbs.twimg.com/media/B6viYn6IYAAul73.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552787144415404032\source-tweet\552787144415404032.json,Police car with bullet holes in front of Charlie hebdo headquarter. Photo @WilliamMolinie,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552787144415404032.jpg,1,ok
552787361437057024,charliehebdo,real,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",https://pbs.twimg.com/media/B6vj-t8CIAA4z81.png,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552787361437057024\source-tweet\552787361437057024.json,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this?",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552787361437057024.png,1,ok
552788007603142656,charliehebdo,real,#CharlieHebdo published a cartoon of the notorious #ISIS leader last week (They've just tweeted the pic again). http://t.co/YYyxzNaFFb,https://pbs.twimg.com/media/B6vlw2wCEAAv76h.png,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552788007603142656\source-tweet\552788007603142656.json,#CharlieHebdo published a cartoon of the notorious #ISIS leader last week (They've just tweeted the pic again).,,0,http_404
552788720236376064,charliehebdo,real,French newspaper Charlie Hebdo's last tweet before gunmen attack http://t.co/vsjId0EWRk http://t.co/yJhgbhIXQ6,https://pbs.twimg.com/media/B6vmaYGIYAEdHBB.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552788720236376064\source-tweet\552788720236376064.json,French newspaper Charlie Hebdo's last tweet before gunmen attack,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552788720236376064.jpg,1,ok
552789196906459136,charliehebdo,real,"Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan"" http://t.co/G7zbitA3Cj",https://pbs.twimg.com/media/B6vm2FfCEAAtHyt.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552789196906459136\source-tweet\552789196906459136.json,"Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan""",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552789196906459136.jpg,1,ok
552789252690706432,charliehebdo,real,#CharlieHebdo. That is all. http://t.co/9zzpYZcAJ8,https://pbs.twimg.com/media/B6vm5ORIYAEQbDW.png,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552789252690706432\source-tweet\552789252690706432.json,#CharlieHebdo. That is all.,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552789252690706432.png,1,ok
552789443644751872,charliehebdo,real,"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u",https://pbs.twimg.com/media/B6vnDs9IYAA57ub.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552789443644751872\source-tweet\552789443644751872.json,"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552789443644751872.jpg,1,ok
552789550238801920,charliehebdo,real,Solidarity with Charlie Hebdo. http://t.co/gvLp0NwLax,https://pbs.twimg.com/media/B6vnKo7CAAAvfKP.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552789550238801920\source-tweet\552789550238801920.json,Solidarity with Charlie Hebdo.,,0,http_404
552789583260577792,charliehebdo,real,"Charlie Hebdo's Nov 2011 CHARIA HEBDO ""guest-edited"" by Muhammad:""100 lashes of the whip if you don't die laughing."" http://t.co/5EzG448CNm",https://pbs.twimg.com/media/B6vnMibCMAAA5xT.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552789583260577792\source-tweet\552789583260577792.json,"Charlie Hebdo's Nov 2011 CHARIA HEBDO ""guest-edited"" by Muhammad:""100 lashes of the whip if you don't die laughing.""",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552789583260577792.jpg,1,ok
552789886202175490,charliehebdo,real,"Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying ""and especially, health!"" (New Year's greeting) http://t.co/UMEWDeR6z4",https://pbs.twimg.com/media/B6vndGVCMAEtAN1.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552789886202175490\source-tweet\552789886202175490.json,"Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying ""and especially, health!"" (New Year's greeting)",,0,http_404
552790565642067968,charliehebdo,real,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac",https://pbs.twimg.com/media/B6vj-t8CIAA4z81.png,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552790565642067968\source-tweet\552790565642067968.json,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this?",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552790565642067968.png,1,ok
552790695036321793,charliehebdo,real,"""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT",https://pbs.twimg.com/media/B6voNPPCEAE8eop.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552790695036321793\source-tweet\552790695036321793.json,"""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552790695036321793.jpg,1,ok
552791159232540673,charliehebdo,real,This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq,https://pbs.twimg.com/media/B6vooHgIAAAdxzr.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552791159232540673\source-tweet\552791159232540673.json,This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552791159232540673.jpg,1,ok
552791203432103937,charliehebdo,real,Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC,https://pbs.twimg.com/media/B6vogCeCcAInfe5.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552791203432103937\source-tweet\552791203432103937.json,Why it's Charlie Hebdo's right to draw Muhammad,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552791203432103937.jpg,1,ok
552792131447037952,charliehebdo,real,in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie http://t.co/FkkDZXChdt,https://pbs.twimg.com/media/B6vpg5XIMAAbQAJ.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552792131447037952\source-tweet\552792131447037952.json,in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552792131447037952.jpg,1,ok
552792518870708224,charliehebdo,real,"More Charlie Hebdo covers, including ""the life of Mohamed"". These are people willing to kill over a cartoon. http://t.co/VAEnDpBYSu",https://pbs.twimg.com/media/B6vnAc5IAAARkhv.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552792518870708224\source-tweet\552792518870708224.json,"More Charlie Hebdo covers, including ""the life of Mohamed"". These are people willing to kill over a cartoon.",D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552792518870708224.jpg,1,ok
552793759210307584,charliehebdo,real,Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad http://t.co/0wAINRJ1Z7,https://pbs.twimg.com/media/B6vq8KiCMAIZxmq.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552793759210307584\source-tweet\552793759210307584.json,Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552793759210307584.jpg,1,ok
552794514424102913,charliehebdo,real,Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run http://t.co/xcK8lY9IeR http://t.co/tQuxQ06Q7f,https://pbs.twimg.com/media/B6vrTxuCIAAuNVt.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552794514424102913\source-tweet\552794514424102913.json,Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552794514424102913.jpg,1,ok
552794995942772736,charliehebdo,real,'...but I will to the death defend your right to say it'. #charliehebdo #voltaire http://t.co/oFEHT8Xx3v,https://pbs.twimg.com/media/B6vsHrAIUAEmxdf.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552794995942772736\source-tweet\552794995942772736.json,'...but I will to the death defend your right to say it'. #charliehebdo #voltaire,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552794995942772736.jpg,1,ok
552795056080691200,charliehebdo,real,VIDEO from the scene of fatal shooting in Paris http://t.co/sL3aG464Lt #CharlieHebdo http://t.co/FLC3mR5C2S,https://pbs.twimg.com/media/B6vrEMVCAAEeIiQ.png,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552795056080691200\source-tweet\552795056080691200.json,VIDEO from the scene of fatal shooting in Paris #CharlieHebdo,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552795056080691200.png,1,ok
552795778922864640,charliehebdo,real,It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs http://t.co/CyqwWWWgJh,https://pbs.twimg.com/media/B6vs1A8IgAEx6-V.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552795778922864640\source-tweet\552795778922864640.json,It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552795778922864640.jpg,1,ok
552795953301045248,charliehebdo,real,French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack. http://t.co/Rve1Lp0EXf http://t.co/8LFA5LFSnS,https://pbs.twimg.com/media/B6vs6fyCYAENwjm.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552795953301045248\source-tweet\552795953301045248.json,French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack.,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552795953301045248.jpg,1,ok
552796269069209600,charliehebdo,real,DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande http://t.co/3Jsosc7yl3 http://t.co/Lvv3J8o6e8,https://pbs.twimg.com/media/B6vtOGNCYAAT6Qa.jpg,1,D:\ARGGGG\phemernrdataset\pheme-rnr-dataset\charliehebdo\non-rumours\552796269069209600\source-tweet\552796269069209600.json,DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande,D:\ARGGGG\Semester 6\DATA MINING\Pheme_CLIP\pheme_images\552796269069209600.jpg,1,ok
